RECORD #(ITEM),LOCATION,LOUTDATE,TOT CHKOUT,TOT RENEW,YTDCIRC,TOTAL CIRC,I TYPE,Circ,RECORD #(BIBLIO),245,99,IsText
i42608387,hstk ,  -  -  ,0,0,0,0,0,0,b3115072x,An introduction to nineteenth century Germany / Eda Sagarra. --,DD203.S23,no
i15348714,wstkg,  -  -  ,0,0,0,0,0,0,b14369540,Deutsche Geschichte im neunzehnten jahrhundert.,DD203.S33,no
i15348726,wstkg,  -  -  ,0,0,0,0,0,0,b14369540,Deutsche Geschichte im neunzehnten jahrhundert.,DD203.S33,no
i15348738,wstkg,  -  -  ,0,0,0,0,0,0,b14369540,Deutsche Geschichte im neunzehnten jahrhundert.,DD203.S33,no
i1534874x,wstkg,  -  -  ,0,0,0,0,0,0,b14369540,Deutsche Geschichte im neunzehnten jahrhundert.,DD203.S33,no
i41628780,hstk ,2007-10-13 14:49,1,2,0,1,0,2,b30288666,"German history, 1770-1866 / by James J. Sheehan. --",DD203.S48,no
i44171110,ustk ,  -  -  ,0,0,0,0,0,0,b32411157,"German history, 1770-1866 / by James J. Sheehan.",DD203.S48,no
i24372316,wstkg,2016-03-25 17:42,13,13,0,13,0,13,b20660820,"German history, 1770-1866 / by James J. Sheehan.",DD203.S48 1989,no
i41960683,hstk ,2007-10-13 14:49,1,2,0,1,0,2,b30579867,"The democratic movement in Germany, 1789-1914 / by John L. Snell   edited and completed by Hans A. Schmitt.",DD203.S63,no
i44171031,ustk ,2007-11-26 13:23,2,2,0,2,0,2,b3241108x,The course of German history : a survey of the development of Germany since 1815 / by A. J. P. Taylor.,DD203.T23,no
i15348799,wstkg,2011-10-14 14:51,5,2,0,5,0,5,b14369564,The course of German history : a survey of the development of Germany since 1815.,DD203.T23 1962,no
i15348805,wstkg,2005-10-05 13:12,6,2,0,6,0,6,b14369576,The course of German history  a survey of the development of Germany since 1815. With a new preface (1961).,DD203.T23 1962a,no
i15348817,wstkg,2012-03-13 19:30,11,4,0,11,0,11,b14369576,The course of German history  a survey of the development of Germany since 1815. With a new preface (1961).,DD203.T23 1962a,no
i15348829,wstkg,2014-12-15 12:12,14,12,0,14,0,14,b14369576,The course of German history  a survey of the development of Germany since 1815. With a new preface (1961).,DD203.T23 1962a,no
i42621161,hstk ,2007-03-04 11:33,1,2,0,1,0,2,b31162083,"The course of German history, a survey of the development of Germany since 1815.",DD203.T3,no
i46139473,kcstk,2010-03-30 12:22,4,5,0,4,0,5,b33748561,The course of German history : a survey of the development of Germany since 1815 / by A. J. P. Taylor.,DD203.T3C6,no
i46139497,kcstk,2016-03-31 18:41,11,3,0,11,0,11,b33748573,The course of German history : a survey of the development of Germany since 1815 / by A. J. P. Taylor.,DD203.T3C6 1962,no
i47549841,wstkg,2015-02-12 12:24,17,13,0,17,0,17,b34852669,A history of modern Germany since 1815 / Frank B. Tipton.,DD203.T56 2003,no
i11774472,wstkg,2016-10-23 16:33,8,1,1,7,0,8,b11431490,History of Germany in the nineteenth century : selections from the translation of Eden and Cedar Paul / Heinrich von Treitschke   edited and with an introd. by Gordon A. Craig.,DD203.T78213,no
i41813054,hstk ,2016-10-16 20:59,3,2,2,1,0,3,b30451206,History of Germany in the nineteenth century : selections from the translation of Eden and Cedar Paul / Heinrich von Treitschke   edited and with an introd. by Gordon A. Craig. --,DD203.T78213,no
i81950093,wstkg,2016-04-07 11:02,1,4,0,1,0,4,b66015431,Germany since 1789 : a nation forged and renewed / David G. Williamson.,DD203.W48 2016,no
i50811642,wstkg,2016-10-23 16:33,11,13,1,10,0,13,b36550000,Germany / Stefan Berger.,DD204.B47 2004,no
i53020704,ustk ,2009-02-04 18:08,1,2,0,1,0,2,b36550000,Germany / Stefan Berger.,DD204.B47 2004,no
