RECORD #(ITEM),LOCATION,LOUTDATE,TOT CHKOUT,TOT RENEW,YTDCIRC,TOTAL CIRC,I TYPE,Circ,RECORD #(BIBLIO),245,99,IsText
i73164197,bdk2h,3/1/2017 11:29,3,0,3,22,6,25,b59439762,"Getting to yes : negotiating an agreement without giving in / by Roger Fisher and William Ury   with Bruce Patton, editor.",BF637.N4F57 2012,z
i3337563x,wstkg,12/6/2016 15:28,8,1,1,7,0,8,b25734222,Negotiating with the Chinese / Goh Bee Chen.,BF637.N4G63 1996,n
i24952850,lstkg,4/7/2011 13:40,15,1,0,15,0,15,b21169664,Settling for more : mastering negotiating strategies and techniques / Alvin L. Goldman.,BF637.N4G64 1991,n
i14438367,wstkg,7/24/2015 15:42,11,5,0,11,0,11,b13642960,Disputes and negotiations : a cross-cultural perspective / P. H. Gulliver.,BF637.N4G8,n
i7224950x,bstkg,3/1/2016 18:13,7,9,0,7,0,9,b57879473,"Negotiation : closing deals, settling disputes, and making team decisions / David S. Hames.",BF637.N4H35 2012,n
i34687221,wstkg,4/11/2015 16:35,5,8,0,5,0,8,b26409689,"Multilateral negotiations : lessons from arms control, trade, and the environment / by Fen Osler Hampson, with Michael Hart.",BF637.N4H36 1995,n
i50308725,wstkg,11/30/2016 15:17,10,8,1,9,0,10,b36281992,The handbook of negotiation and culture / edited by Michele J. Gelfand and Jeanne M. Brett.,BF637.N4H365 2004,n
i24899252,wstkg,  -  -  ,3,0,0,3,0,3,b21122192,"Conflict, power, and persuasion : negotiating effectively / Ben Hoffman.",BF637.N4H64 1990,n
i48479111,wstkg,4/2/2016 18:10,5,0,0,5,0,5,b35059230,How people negotiate : resolving disputes in different cultures / edited by Guy Olivier Faure.,BF637.N4H69 2003,n
i81407579,bstkg,1/14/2016 11:33,1,0,0,1,0,1,b65239854,"How to master negotiation / CEDR Contributors, Eileen Carroll ... [et al.]   specialist contributors, Balint Balassa ... [et al.]   editor, Leah Oppenheimer.",BF637.N4H69 2015,n
