RECORD #(ITEM),LOCATION,LOUTDATE,TOT CHKOUT,TOT RENEW,YTDCIRC,TOTAL CIRC,I TYPE,Circ,RECORD #(BIBLIO),245,99,IsText
i1320516x,wstkg,2014-11-30 22:51,19,8,0,19,0,19,b12615717,Fifteen men : Canada's prime ministers from Macdonald to Trudeau / by Gordon Donaldson   illustrated by Don Morrison.,F1033.D69,n
i13205171,wstkg,2003-03-07 12:13,4,2,0,4,0,4,b12615717,Fifteen men : Canada's prime ministers from Macdonald to Trudeau / by Gordon Donaldson   illustrated by Don Morrison.,F1033.D69,n
i13205183,wstkg,2003-05-07 18:25,11,2,0,11,0,11,b12615717,Fifteen men : Canada's prime ministers from Macdonald to Trudeau / by Gordon Donaldson   illustrated by Don Morrison.,F1033.D69,n
i16285840,wstkg,2008-03-05 11:14,20,6,0,20,0,20,b15117303,Sixteen men : the prime ministers of Canada / by Gordon Donaldson.,F1033.D69 1980,n
i21852571,wstkg,2012-11-01 15:08,35,15,0,35,0,35,b18578986,Eighteen men : the prime ministers of Canada / by Gordon Donaldson.,F1033.D69 1985,n
i1652780x,wstkg,2017-03-07 14:48,7,6,2,5,0,7,b15303007,"Canadian independence, annexation and British imperial federation, by James Douglas.",F1033.D73,n
i67853419,estkg,  -  -  ,0,0,0,0,0,0,b53491026,The British North America Act / [Penny Dowdy].,F1033.D79 2011,n
i25546119,wstkg,  -  -  ,1,0,0,1,0,1,b21656927,Hear! hear! : 125 years of debate in Canada's House of Commons / Lloyd Duhaime   illustrated by Graham Pilsworth.,F1033.D85 1992,n
i6404466x,lmab ,  -  -  ,0,0,0,0,0,0,b21656927,Hear! hear! : 125 years of debate in Canada's House of Commons / Lloyd Duhaime   illustrated by Graham Pilsworth.,F1033.D85 1992,n
i46746651,kcstk,  -  -  ,0,0,0,0,0,0,b34214458,"Speeches of the Earl of Dufferin, Governor-General of Canada, 1872-1878. / Toronto, J. R. Robertson, 1878.",F1033.D8A6,n
